Qtr_JM,JM,BS_Section1,BS_Section2,BS_Section3,BS_Section4,BS_Ref,BS_Section5
2015/03/31,Judi Marlinski,負債の部,固定負債,退職給付引当金,,5874342,-5874342
2015/03/31,Judi Marlinski,負債の部,固定負債,関係会社引当金 ,,0,0
2015/03/31,Judi Marlinski,負債の部,固定負債,預り保証金,,19485,-19485
2015/03/31,Judi Marlinski,負債の部,固定負債,繰延税金負債 ,,201942,-201942
2015/03/31,Judi Marlinski,純資産の部,株主資本,資本金,,1000000,1000000
2015/03/31,Judi Marlinski,純資産の部,株主資本,利益剰余金,利益準備金,0,0
2015/03/31,Judi Marlinski,純資産の部,株主資本,利益剰余金,その他利益剰余金,0,0
2015/03/31,Judi Marlinski,純資産の部,株主資本,利益剰余金,繰越利益剰余金,11489515,11489515
2015/03/31,Judi Marlinski,純資産の部,評価・換算差額等,その他有価証券評価差額金,,422493,422493
2016/3/31,Judi Marlinski,資産の部,流動資産,現金及び預金,,894321,894321
2016/3/31,Judi Marlinski,資産の部,流動資産,立替金,,154719,154719
2016/3/31,Judi Marlinski,資産の部,流動資産,前払費用,,88670,88670
2016/3/31,Judi Marlinski,資産の部,流動資産,未収委託者報酬,,5025208,5025208
2016/3/31,Judi Marlinski,資産の部,流動資産,未収運用受託報酬,,0,0
2016/3/31,Judi Marlinski,資産の部,流動資産,未収収益,,876488,876488
2016/3/31,Judi Marlinski,資産の部,流動資産,未収入金,,572443,572443
2016/3/31,Judi Marlinski,資産の部,流動資産,繰延税金資産,,526225,526225
2016/3/31,Judi Marlinski,資産の部,流動資産,未収還付法人税等,,0,0
2016/3/31,Judi Marlinski,資産の部,流動資産,未収還付消費税等,,0,0
2016/3/31,Judi Marlinski,資産の部,固定資産,有形固定資産,建設仮勘定,827605,827605
2016/3/31,Judi Marlinski,資産の部,固定資産,無形固定資産,電話加入権,7487,7487
2016/3/31,Judi Marlinski,資産の部,固定資産,投資その他の資産,長期貸付金,355100,355100
2016/3/31,Judi Marlinski,資産の部,固定資産,投資その他の資産,長期差入保証金,18279971,18279971
2016/3/31,Judi Marlinski,資産の部,固定資産,投資その他の資産,繰延税金資産,29533,29533
2016/3/31,Judi Marlinski,資産の部,固定資産,投資その他の資産,その他,830,830
2016/3/31,Judi Marlinski,負債の部,流動負債,預り金,,456957,-456957
2016/3/31,Judi Marlinski,負債の部,流動負債,未払金,未払手数料,2130311,-2130311
2016/3/31,Judi Marlinski,負債の部,流動負債,未払金,その他未払金,2196759,-2196759
2016/3/31,Judi Marlinski,負債の部,流動負債,未払費用,,489333,-489333
2016/3/31,Judi Marlinski,負債の部,流動負債,未払法人税等,,130057,-130057
2016/3/31,Judi Marlinski,負債の部,流動負債,未払消費税等,,188169,-188169
2016/3/31,Judi Marlinski,負債の部,流動負債,賞与引当金,,1824135,-1824135
2016/3/31,Judi Marlinski,負債の部,流動負債,その他流動負債,,235223,-235223
2016/3/31,Judi Marlinski,負債の部,固定負債,長期賞与引当金,,186349,-186349
2016/3/31,Judi Marlinski,負債の部,固定負債,退職給付引当金,,5449945,-5449945
2016/3/31,Judi Marlinski,負債の部,固定負債,関係会社引当金 ,,0,0
2016/3/31,Judi Marlinski,負債の部,固定負債,預り保証金,,19485,-19485
2016/3/31,Judi Marlinski,負債の部,固定負債,繰延税金負債 ,,101563,-101563
2016/3/31,Judi Marlinski,純資産の部,株主資本,資本金,,1000000,1000000
2016/3/31,Judi Marlinski,純資産の部,株主資本,利益剰余金,利益準備金,100000,100000
2016/3/31,Judi Marlinski,純資産の部,株主資本,利益剰余金,その他利益剰余金,0,0
2016/3/31,Judi Marlinski,純資産の部,株主資本,利益剰余金,繰越利益剰余金,13004488,13004488
2016/3/31,Judi Marlinski,純資産の部,評価・換算差額等,その他有価証券評価差額金,,125824,125824
